triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
86,556,192,-4.841070207798192,556,196,-4.82654504057138,560,196,-4.82456464848873
87,580,176,-4.782102072864299,580,172,-4.795766759609275,576,172,-4.830689237668656
88,576,172,-4.830689237668656,576,168,-4.77516859011725,572,168,-4.77215267400235
89,580,172,-4.795766759609275,576,168,-4.77516859011725,576,172,-4.830689237668656
90,552,188,-4.84408485113307,552,192,-4.837350606408491,556,192,-4.841070207798192
91,572,196,-4.775180310699969,576,196,-4.730302040851401,576,192,-4.760036624875915
92,576,192,-4.760036624875915,580,192,-4.701931237723972,580,188,-4.728412085243783
93,556,168,-4.667164649382562,552,172,-4.729806957689455,556,172,-4.758602634416802
94,576,196,-4.730302040851401,580,192,-4.701931237723972,576,192,-4.760036624875915
95,560,196,-4.82456464848873,564,200,-4.788436469374921,564,196,-4.818814215694175
96,564,196,-4.818814215694175,564,200,-4.788436469374921,568,196,-4.803907636547122
97,568,196,-4.803907636547122,568,200,-4.770567685683685,572,196,-4.775180310699969
98,572,196,-4.775180310699969,572,200,-4.739166009285239,576,196,-4.730302040851401
99,560,200,-4.797427557885847,564,200,-4.788436469374921,560,196,-4.82456464848873
100,564,200,-4.788436469374921,568,200,-4.770567685683685,568,196,-4.803907636547122
101,552,180,-4.838878799438463,548,184,-4.838807458794449,552,184,-4.843688973899034
102,552,184,-4.843688973899034,548,184,-4.838807458794449,552,188,-4.84408485113307
103,552,188,-4.84408485113307,548,188,-4.838710533329087,552,192,-4.837350606408491
104,548,180,-4.835630649503133,548,184,-4.838807458794449,552,180,-4.838878799438463
105,548,180,-4.835630649503133,552,180,-4.838878799438463,552,176,-4.823881748286949
106,584,184,-4.684414849772752,584,180,-4.706392917353042,580,184,-4.74961691061467
107,580,184,-4.74961691061467,584,180,-4.706392917353042,580,180,-4.767008840563558
108,580,180,-4.767008840563558,584,180,-4.706392917353042,580,176,-4.782102072864299
109,580,176,-4.782102072864299,584,176,-4.724685772012608,580,172,-4.795766759609275
110,584,184,-4.684414849772752,580,184,-4.74961691061467,580,188,-4.728412085243783
111,548,176,-4.802584401316652,548,180,-4.835630649503133,552,176,-4.823881748286949
112,572,168,-4.77215267400235,568,164,-4.671451561794709,568,168,-4.756988916055097
113,568,168,-4.756988916055097,568,164,-4.671451561794709,564,168,-4.731763753066296
114,564,168,-4.731763753066296,564,164,-4.644355054382926,560,168,-4.700111823538202
115,560,168,-4.700111823538202,560,164,-4.611468251354586,556,168,-4.667164649382562
116,572,164,-4.689292412408574,568,164,-4.671451561794709,572,168,-4.77215267400235
117,568,164,-4.671451561794709,564,164,-4.644355054382926,564,168,-4.731763753066296
118,584,188,-4.658245770568119,584,184,-4.684414849772752,580,188,-4.728412085243783
119,552,172,-4.729806957689455,548,176,-4.802584401316652,552,176,-4.823881748286949
120,580,192,-4.701931237723972,584,188,-4.658245770568119,580,188,-4.728412085243783
121,556,196,-4.82654504057138,560,200,-4.797427557885847,560,196,-4.82456464848873
122,548,184,-4.838807458794449,548,188,-4.838710533329087,552,188,-4.84408485113307
123,568,200,-4.770567685683685,572,200,-4.739166009285239,572,196,-4.775180310699969
124,584,180,-4.706392917353042,584,176,-4.724685772012608,580,176,-4.782102072864299
125,564,164,-4.644355054382926,560,164,-4.611468251354586,560,168,-4.700111823538202
126,576,168,-4.77516859011725,572,164,-4.689292412408574,572,168,-4.77215267400235
127,576,200,-4.6919945510835115,580,196,-4.668909870559652,576,196,-4.730302040851401
128,576,196,-4.730302040851401,580,196,-4.668909870559652,580,192,-4.701931237723972
129,580,192,-4.701931237723972,584,192,-4.627760382796565,584,188,-4.658245770568119
130,548,192,-4.832903970351416,552,196,-4.822557943270894,552,192,-4.837350606408491
131,552,192,-4.837350606408491,552,196,-4.822557943270894,556,196,-4.82654504057138
132,556,196,-4.82654504057138,556,200,-4.801136940977826,560,200,-4.797427557885847
133,584,172,-4.742052537566328,580,168,-4.766264966438626,580,172,-4.795766759609275
134,580,172,-4.795766759609275,580,168,-4.766264966438626,576,168,-4.77516859011725
135,576,168,-4.77516859011725,576,164,-4.695888609043875,572,164,-4.689292412408574
136,556,164,-4.57772019065217,552,168,-4.637806756912216,556,168,-4.667164649382562
137,556,168,-4.667164649382562,552,168,-4.637806756912216,552,172,-4.729806957689455
138,552,172,-4.729806957689455,548,172,-4.70819030950404,548,176,-4.802584401316652
139,552,168,-4.637806756912216,548,172,-4.70819030950404,552,172,-4.729806957689455
