Fish ID,X,Y,Z,Timestamp
1,568.9756231543846,115.91079152466796,0,0
1,569.0435501836273,115.91301273655917,-0.033458044052118344,1
1,569.1383623439218,115.91453306731505,-0.0811592524451166,2
1,569.1887219794701,115.91374555243262,-0.10665807233310994,3
1,569.2081059936688,115.91352337682326,-0.11624342287800596,4
1,569.2319299547297,115.9125391181921,-0.12683829645696504,5
1,569.2651454841628,115.90745127474698,-0.14112044681564218,6
1,569.2920228961186,115.9038779329191,-0.15326324875179537,7
1,569.3302229691336,115.90004661830602,-0.1704360462095523,8
1,569.3661426913642,115.8964916724089,-0.1870051590386055,9
1,569.3951837215723,115.8922381821727,-0.20045079832179424,10
1,569.4053345483911,115.89072744117837,-0.2052321104653276,11
1,569.4347961348641,115.88706159341243,-0.2190145158663657,12
1,569.4924348216906,115.87996698279633,-0.2469359190185128,13
1,569.5454922459875,115.8724988601957,-0.27181568405256745,14
1,569.5652695219839,115.869149859562,-0.2813081936381135,15
1,569.6199514312406,115.85735306746533,-0.3074558926181713,16
1,569.6395696741506,115.85105336011672,-0.31663275118496886,17
1,569.6712097228454,115.84013714137316,-0.3306684493330518,18
1,569.6998209654417,115.83051992852268,-0.34277101277508265,19
1,569.7408529757752,115.81812591030054,-0.3589915593750191,20
1,569.7524347987764,115.81434583389324,-0.3633592545477665,21
1,569.8195857996382,115.78928258602976,-0.3899162845129683,22
1,569.8284143822357,115.78570950365912,-0.39332437593487846,23
1,569.8737299492807,115.76495614559026,-0.4124523014803545,24
1,569.9308471480452,115.73970388730734,-0.4367121006766448,25
1,569.9731054484042,115.72176817200624,-0.4552853719585278,26
1,569.9789792546424,115.7192988688001,-0.45800075546855873,27
1,569.9978177445297,115.71156528778356,-0.4666413212986983,28
1,570.0075391542332,115.7065812511367,-0.4714053604625513,29
1,570.0466302853704,115.68420590590857,-0.4911564118600567,30
1,570.0683916733907,115.67312916425612,-0.5026579910641709,31
1,570.1176689902283,115.64983332167368,-0.5279404199549563,32
1,570.1725100262238,115.62446564748036,-0.5564900431569619,33
1,570.1982962263565,115.61432725806337,-0.5692801070403101,34
1,570.2175654132428,115.6050275748154,-0.5796735592977902,35
1,570.2732230197157,115.5780932611967,-0.6087092366305039,36
1,570.3092464586416,115.56004498733962,-0.6262399731171673,37
1,570.3772038592142,115.52703242763918,-0.6582089171900012,38
1,570.3965790169505,115.51718190752179,-0.6670089954717925,39
1,570.4269022086477,115.50176676783951,-0.6805510724989051,40
1,570.4332381857006,115.49854843523784,-0.6832951944366613,41
1,570.489250779485,115.46702499665595,-0.707940824947308,42
1,570.5264816057548,115.44642876801892,-0.7243856802144824,43
1,570.5552218445966,115.42942278784571,-0.7374731620859842,44
1,570.5868816232057,115.40762222016672,-0.7518680838385827,45
1,570.6220588145859,115.38590160103548,-0.7667366122228527,46
1,570.6553884303272,115.36912878693299,-0.7801003160167869,47
1,570.7008475219192,115.34523195749647,-0.7977907968609769,48
1,570.7207000198072,115.33488379560428,-0.8055185167743159,49
1,570.7307468407093,115.3297490661005,-0.8096092718709268,50
1,570.7500800962097,115.31874214121784,-0.8177901872924558,51
1,570.7733339898584,115.30554362163151,-0.8273239426784842,52
1,570.7894553020401,115.2953385079018,-0.834447910191759,53
1,570.8068007358295,115.28348333477528,-0.8420338960265168,54
1,570.838333090765,115.25963158917858,-0.8561173401440914,55
1,570.8476107505813,115.25232936714333,-0.860035456182776,56
1,570.8682226581078,115.23494576398227,-0.8690318928418199,57
1,570.8998072226624,115.20868802275183,-0.8847766278495584,58
1,570.9139466872709,115.19875472973429,-0.8913042152040773,59
1,570.9901011839396,115.15466457607698,-0.9233107765996296,60
1,571.0155917797679,115.14010115849264,-0.9339815501154007,61
1,571.0271005121967,115.1326632570508,-0.939057953505833,62
1,571.0735988099411,115.10504326066531,-0.959508437639867,63
1,571.1118989345042,115.08298024978137,-0.9758067368144123,64
1,571.1387972187143,115.0701104480791,-0.9866916555762228,65
1,571.1747390307445,115.05048222509161,-1.00191794216474,66
1,571.2179823989981,115.0239264086558,-1.0193303929863913,67
1,571.2616913432797,114.99510918804158,-1.0372257171382142,68
